"Classification_ID","Run_ID","US_ID","Condition","Question_ID","Segment_ID","Question_Original","Gap_Normalized","Contextual_Category","Coverage","Functional_Relevance","Evidence","Justification","Judge_ID","Adjudication_Status"
"CLS0059","US08_CD_R1","US08","CD","Q07","S01","[NEEDS CLARIFICATION] If an active estimator disconnects after submitting but before reveal, should their submitted estimate still be revealed?","","","","","","","","Pending"
"CLS0060","US08_CD_R1","US08","CD","Q08","S01","[NEEDS CLARIFICATION] If an estimator submits, disconnects, and later reconnects before reveal, should they count as submitted for completion?","","","","","","","","Pending"
"CLS0061","US08_CD_R1","US08","CD","Q09","S01","[NEEDS CLARIFICATION] Before reveal, may an estimator change or replace their hidden estimate, or is the first submission final?","","","","","","","","Pending"
"CLS0062","US08_CD_R1","US08","CD","Q10","S01","[NEEDS CLARIFICATION] When the moderator closes voting with no submitted estimates, should the round reveal an empty result, remain unrevealed, or enter a cancelled/closed state?","","","","","","","","Pending"
"CLS0063","US08_CL_R1","US08","CL","Q01","S01","If an active estimator disconnects after submitting but before reveal, should their submitted estimate still be revealed? Answer in <=5 words.","","","","","","","","Pending"
"CLS0064","US08_CL_R1","US08","CL","Q02","S01","When an active estimator disconnects before submitting, should the system immediately exclude them and reveal if remaining active estimators are complete, or wait for moderator closure? Answer in <=5 words.","","","","","","","","Pending"
"CLS0065","US08_CL_R1","US08","CL","Q03","S01","Should revealed estimates be visible to all participants, including spectators and later reconnecting participants, or only currently connected participants? Answer in <=5 words.","","","","","","","","Pending"
"CLS0066","US08_CL_R1","US08","CL","Q04","S01","If the moderator closes voting when no estimates have been submitted, should the round enter a revealed/closed state or remain open? Answer in <=5 words.","","","","","","","","Pending"
"CLS0067","US08_CL_R1","US08","CL","Q05","S01","After reveal, should attempted estimate changes be rejected with feedback, silently ignored, or treated as a request requiring a new round? Answer in <=5 words.","","","","","","","","Pending"
"CLS0068","US08_CO_R1","US08","CO","Q01","S01","When an active estimator disconnects after submitting but before reveal, should their stored estimate still be revealed? Answer in <=5 words.","","","","","","","","Pending"
"CLS0069","US08_CO_R1","US08","CO","Q02","S01","Is the active estimator set fixed at round start, or recalculated dynamically as participants connect/disconnect? Answer in <=5 words.","","","","","","","","Pending"
"CLS0070","US08_CO_R1","US08","CO","Q03","S01","When the moderator closes voting with no submitted estimates, should the round enter a revealed/closed state or remain unrevealed? Answer in <=5 words.","","","","","","","","Pending"
"CLS0071","US08_CS_R1","US08","CS","Q01","S01","Is the required estimator set fixed when a voting round starts, or recalculated from the Presence Service at reveal time?","","","","","","","","Pending"
"CLS0072","US08_CS_R1","US08","CS","Q02","S01","If an estimator disconnects before submitting, should their missing estimate immediately stop blocking reveal, or only after the moderator closes voting?","","","","","","","","Pending"
"CLS0073","US08_CS_R1","US08","CS","Q03","S01","Before reveal, may an estimator change or replace their hidden submitted estimate?","","","","","","","","Pending"
"CLS0074","US08_CS_R1","US08","CS","Q04","S01","When the moderator closes voting with zero submitted estimates, should the system reveal an empty result set or leave the round unrevealed?","","","","","","","","Pending"
"CLS0075","US08_CS_R1","US08","CS","Q05","S01","Should participants who reconnect or join after reveal see the already revealed estimates for that round?","","","","","","","","Pending"
"CLS0076","US08_CS_R1","US08","CS","Q06","S01","[NEEDS CLARIFICATION] Is the required estimator set fixed when a voting round starts, or recalculated from the Presence Service at reveal time?","","","","","","","","Pending"
"CLS0077","US08_CS_R1","US08","CS","Q07","S01","[NEEDS CLARIFICATION] If an estimator disconnects before submitting, should their missing estimate immediately stop blocking reveal, or only after the moderator closes voting?","","","","","","","","Pending"
"CLS0078","US08_CS_R1","US08","CS","Q08","S01","[NEEDS CLARIFICATION] Before reveal, may an estimator change or replace their hidden submitted estimate?","","","","","","","","Pending"
"CLS0079","US08_CS_R1","US08","CS","Q09","S01","[NEEDS CLARIFICATION] When the moderator closes voting with zero submitted estimates, should the system reveal an empty result set or leave the round unrevealed?","","","","","","","","Pending"
"CLS0080","US08_CS_R1","US08","CS","Q10","S01","[NEEDS CLARIFICATION] Should participants who reconnect or join after reveal see the already revealed estimates for that round?","","","","","","","","Pending"
"CLS0081","US08_CT_R1","US08","CT","Q01","S01","If an active estimator submits an estimate and then disconnects before reveal, should their stored estimate be included in the reveal?","","","","","","","","Pending"
"CLS0082","US08_CT_R1","US08","CT","Q02","S01","When the moderator closes voting before any estimates have been submitted, what should participants see?","","","","","","","","Pending"
"CLS0083","US08_CT_R1","US08","CT","Q03","S01","After estimates are revealed, who should be able to view revealed estimates?","","","","","","","","Pending"
"CLS0084","US08_CT_R1","US08","CT","Q04","S01","If the active estimator set changes during a voting round, when is the required completion count determined?","","","","","","","","Pending"
"CLS0085","US08_CT_R1","US08","CT","Q05","S01","If the reveal broadcast fails for some connected participants, what behavior is required?","","","","","","","","Pending"
"CLS0086","US08_CT_R1","US08","CT","Q06","S01","[NEEDS CLARIFICATION] If an active estimator submits an estimate and then disconnects before reveal, should their stored estimate be included in the reveal?","","","","","","","","Pending"
"CLS0087","US08_CT_R1","US08","CT","Q07","S01","[NEEDS CLARIFICATION] When the moderator closes voting before any estimates have been submitted, what should participants see?","","","","","","","","Pending"
"CLS0088","US08_CT_R1","US08","CT","Q08","S01","[NEEDS CLARIFICATION] After estimates are revealed, who should be able to view revealed estimates?","","","","","","","","Pending"
"CLS0089","US08_CT_R1","US08","CT","Q09","S01","[NEEDS CLARIFICATION] If the active estimator set changes during a voting round, when is the required completion count determined?","","","","","","","","Pending"
"CLS0090","US08_CT_R1","US08","CT","Q10","S01","[NEEDS CLARIFICATION] If the reveal broadcast fails for some connected participants, what behavior is required?","","","","","","","","Pending"
"CLS0091","US19_C0_R1","US19","C0","Q01","S01","Should this feature include only joining the waitlist, or also downstream offer notification, acceptance, expiration, enrollment, and coordinator removal workflows?","","","","","","","","Pending"
"CLS0092","US19_C0_R1","US19","C0","Q02","S01","What exactly makes an attendee “eligible” to join a training waitlist?","","","","","","","","Pending"
"CLS0093","US19_C0_R1","US19","C0","Q03","S01","When two attendees join at nearly the same time, what tie-breaker should determine waitlist order?","","","","","","","","Pending"
"CLS0094","US19_C0_R1","US19","C0","Q04","S01","If an attendee already has an active waitlist entry for the same class, should the system reject the new attempt, refresh the existing entry, or show the existing waitlist status?","","","","","","","","Pending"
"CLS0095","US19_C0_R1","US19","C0","Q05","S01","How should an attendee be “considered when a place becomes available”: manual coordinator review, automatic offer to the first eligible attendee, or another process?","","","","","","","","Pending"
"CLS0096","US19_C0_R1","US19","C0","Q06","S01","[NEEDS CLARIFICATION] Should this feature include only joining the waitlist, or also downstream offer notification, acceptance, expiration, enrollment, and coordinator removal workflows?","","","","","","","","Pending"
"CLS0097","US19_C0_R1","US19","C0","Q07","S01","[NEEDS CLARIFICATION] What exactly makes an attendee “eligible” to join a training waitlist?","","","","","","","","Pending"
"CLS0098","US19_C0_R1","US19","C0","Q08","S01","[NEEDS CLARIFICATION] When two attendees join at nearly the same time, what tie-breaker should determine waitlist order?","","","","","","","","Pending"
"CLS0099","US19_C0_R1","US19","C0","Q09","S01","[NEEDS CLARIFICATION] If an attendee already has an active waitlist entry for the same class, should the system reject the new attempt, refresh the existing entry, or show the existing waitlist status?","","","","","","","","Pending"
"CLS0100","US19_C0_R1","US19","C0","Q10","S01","[NEEDS CLARIFICATION] How should an attendee be “considered when a place becomes available”: manual coordinator review, automatic offer to the first eligible attendee, or another process?","","","","","","","","Pending"
"CLS0101","US19_CD_R1","US19","CD","Q01","S01","When an offered place expires or is declined, should the system automatically offer it to the next eligible waitlisted attendee, or should coordinator action be required?","","","","","","","","Pending"
"CLS0102","US19_CD_R1","US19","CD","Q02","S01","If two attendees successfully join at the same timestamp precision, what tie-breaker determines waitlist order? Answer in <=5 words.","","","","","","","","Pending"
"CLS0103","US19_CD_R1","US19","CD","Q03","S01","What makes an attendee “eligible” for joining or remaining on a training waitlist? Answer in <=5 words.","","","","","","","","Pending"
"CLS0104","US19_CD_R1","US19","CD","Q04","S01","How should the system notify an attendee about an available-place offer? Answer in <=5 words.","","","","","","","","Pending"
"CLS0105","US19_CD_R1","US19","CD","Q05","S01","After a coordinator removes a waitlist entry, should that attendee be allowed to join the same waitlist again if they later become eligible?","","","","","","","","Pending"
"CLS0106","US19_CD_R1","US19","CD","Q06","S01","[NEEDS CLARIFICATION] When an offered place expires or is declined, should the system automatically offer it to the next eligible waitlisted attendee, or should coordinator action be required?","","","","","","","","Pending"
"CLS0107","US19_CD_R1","US19","CD","Q07","S01","[NEEDS CLARIFICATION] After a coordinator removes a waitlist entry, should that attendee be allowed to join the same waitlist again if they later become eligible?","","","","","","","","Pending"
"CLS0108","US19_CL_R1","US19","CL","Q01","S01","When a waitlist offer expires or is declined, should the system automatically notify the next eligible attendee? Answer in <=5 words.","","","","","","","","Pending"
"CLS0109","US19_CL_R1","US19","CL","Q02","S01","During the 24-hour offer window, is the available place reserved for the notified attendee? Answer in <=5 words.","","","","","","","","Pending"
"CLS0110","US19_CL_R1","US19","CL","Q03","S01","If two attendees join at the same timestamp, what tie-breaker determines waitlist order? Answer in <=5 words.","","","","","","","","Pending"
"CLS0111","US19_CL_R1","US19","CL","Q04","S01","When should attendee eligibility be rechecked: only on join, only before offer, or both? Answer in <=5 words.","","","","","","","","Pending"
"CLS0112","US19_CL_R1","US19","CL","Q05","S01","What information must be recorded for coordinator removals besides the reason? Answer in <=5 words.","","","","","","","","Pending"
"CLS0113","US19_CO_R1","US19","CO","Q01","S01","What eligibility rules determine whether an attendee may join or remain on a waitlist? Answer in <=5 words.","","","","","","","","Pending"
"CLS0114","US19_CO_R1","US19","CO","Q02","S01","If two successful waitlist entries have the same timestamp, how should their order be determined? Answer in <=5 words.","","","","","","","","Pending"
"CLS0115","US19_CO_R1","US19","CO","Q03","S01","When a waitlist offer expires or is declined, should the next eligible attendee automatically receive an offer? Answer: yes/no.","","","","","","","","Pending"
"CLS0116","US19_CO_R1","US19","CO","Q04","S01","Should an attendee be able to join multiple waitlists for different training classes at the same time? Answer: yes/no.","","","","","","","","Pending"
"CLS0117","US19_CO_R1","US19","CO","Q05","S01","What information must be recorded when a coordinator removes a waitlist entry? Answer in <=5 words.","","","","","","","","Pending"
"CLS0118","US19_CS_R1","US19","CS","Q01","S01","When an available-place offer expires or is declined, what should happen to that waitlist entry? Answer in <=5 words.","","","","","","","","Pending"
"CLS0119","US19_CS_R1","US19","CS","Q02","S01","After an offer expires, is declined, or the attendee becomes ineligible, should the system automatically offer the place to the next eligible attendee? Answer in <=5 words.","","","","","","","","Pending"
"CLS0120","US19_CS_R1","US19","CS","Q03","S01","If multiple attendees join at the same timestamp, what tie-breaker determines waitlist order? Answer in <=5 words.","","","","","","","","Pending"
"CLS0121","US19_CS_R1","US19","CS","Q04","S01","Should attendee eligibility be rechecked when a place becomes available, when the offer is accepted, or both? Answer in <=5 words.","","","","","","","","Pending"
"CLS0122","US19_CS_R1","US19","CS","Q05","S01","What should happen if the notification service fails to send an available-place offer? Answer in <=5 words.","","","","","","","","Pending"
"CLS0123","US19_CT_R1","US19","CT","Q01","S01","If two attendees successfully join at the same timestamp, what tie-breaker determines waitlist order?","","","","","","","","Pending"
"CLS0124","US19_CT_R1","US19","CT","Q02","S01","When a 24-hour offer expires or is declined, should the system automatically notify the next eligible attendee?","","","","","","","","Pending"
"CLS0125","US19_CT_R1","US19","CT","Q03","S01","Should attendee eligibility be rechecked when an available-place offer is generated, when the offer is accepted, or both?","","","","","","","","Pending"
"CLS0126","US19_CT_R1","US19","CT","Q04","S01","What minimum information must be recorded for coordinator removals besides the reason?","","","","","","","","Pending"
"CLS0127","US19_CT_R1","US19","CT","Q05","S01","What notification channel is required for available-place offers?","","","","","","","","Pending"
"CLS0128","US19_CT_R1","US19","CT","Q06","S01","[NEEDS CLARIFICATION] If two attendees successfully join at the same timestamp, what tie-breaker determines waitlist order?","","","","","","","","Pending"
"CLS0129","US19_CT_R1","US19","CT","Q07","S01","[NEEDS CLARIFICATION] When a 24-hour offer expires or is declined, should the system automatically notify the next eligible attendee?","","","","","","","","Pending"
"CLS0130","US19_CT_R1","US19","CT","Q08","S01","[NEEDS CLARIFICATION] Should attendee eligibility be rechecked when an available-place offer is generated, when the offer is accepted, or both?","","","","","","","","Pending"
"CLS0131","US19_CT_R1","US19","CT","Q09","S01","[NEEDS CLARIFICATION] What minimum information must be recorded for coordinator removals besides the reason?","","","","","","","","Pending"
"CLS0132","US19_CT_R1","US19","CT","Q10","S01","[NEEDS CLARIFICATION] What notification channel is required for available-place offers?","","","","","","","","Pending"
"CLS0133","US22_C0_R1","US22","C0","Q01","S01","What qualifies as “sufficient profile and interaction history” for personalized recommendations? Answer in <=5 words.","","","","","","","","Pending"
"CLS0134","US22_C0_R1","US22","C0","Q02","S01","What makes content “eligible” for recommendation beyond not being dismissed? Answer in <=5 words.","","","","","","","","Pending"
"CLS0135","US22_C0_R1","US22","C0","Q03","S01","How should “similar profiles” be prioritized when interests and interaction signals conflict? Answer in <=5 words.","","","","","","","","Pending"
"CLS0136","US22_C0_R1","US22","C0","Q04","S01","How is “popular content” defined for fallback recommendations? Answer in <=5 words.","","","","","","","","Pending"
"CLS0137","US22_C0_R1","US22","C0","Q05","S01","When a user disables interaction-history use, should their history also be excluded from similarity calculations for other users? Answer: Yes or No.","","","","","","","","Pending"
"CLS0138","US22_CD_R1","US22","CD","Q01","S01","What defines “sufficient profile and interaction history” for personalized recommendations?","","","","","","","","Pending"
"CLS0139","US22_CD_R1","US22","CD","Q02","S01","What makes a content item “eligible” for recommendation?","","","","","","","","Pending"
"CLS0140","US22_CD_R1","US22","CD","Q03","S01","When history use is disabled, may declared interests still be used for recommendations?","","","","","","","","Pending"
"CLS0141","US22_CD_R1","US22","CD","Q04","S01","How should “popular eligible content” be determined for fallback recommendations?","","","","","","","","Pending"
"CLS0142","US22_CD_R1","US22","CD","Q05","S01","Besides dismissed items, should previously viewed, saved, or positively rated content be excluded from recommendations?","","","","","","","","Pending"
"CLS0143","US22_CD_R1","US22","CD","Q06","S01","[NEEDS CLARIFICATION] What defines “sufficient profile and interaction history” for personalized recommendations?","","","","","","","","Pending"
"CLS0144","US22_CD_R1","US22","CD","Q07","S01","[NEEDS CLARIFICATION] What makes a content item “eligible” for recommendation?","","","","","","","","Pending"
"CLS0145","US22_CD_R1","US22","CD","Q08","S01","[NEEDS CLARIFICATION] When history use is disabled, may declared interests still be used for recommendations?","","","","","","","","Pending"
"CLS0146","US22_CD_R1","US22","CD","Q09","S01","[NEEDS CLARIFICATION] How should “popular eligible content” be determined for fallback recommendations?","","","","","","","","Pending"
"CLS0147","US22_CD_R1","US22","CD","Q10","S01","[NEEDS CLARIFICATION] Besides dismissed items, should previously viewed, saved, or positively rated content be excluded from recommendations?","","","","","","","","Pending"
"CLS0148","US22_CL_R1","US22","CL","Q01","S01","What threshold defines “sufficient profile and interaction history” for personalized recommendations? Answer in <=5 words.","","","","","","","","Pending"
"CLS0149","US22_CL_R1","US22","CL","Q02","S01","Which interaction types count as “positive feedback” for similarity scoring? Answer in <=5 words.","","","","","","","","Pending"
"CLS0150","US22_CL_R1","US22","CL","Q03","S01","What makes content “eligible” for recommendation? Answer in <=5 words.","","","","","","","","Pending"
"CLS0151","US22_CL_R1","US22","CL","Q04","S01","How should recommendation ranking combine interest similarity and interaction-pattern similarity? Answer in <=5 words.","","","","","","","","Pending"
"CLS0152","US22_CL_R1","US22","CL","Q05","S01","What user-visible state should appear when no eligible recommendations are available? Answer in <=5 words.","","","","","","","","Pending"
"CLS0153","US22_CO_R1","US22","CO","Q01","S01","What exact threshold defines “sufficient history” for personalized recommendations?","","","","","","","","Pending"
"CLS0154","US22_CO_R1","US22","CO","Q02","S01","What criteria make a content item “eligible” for recommendation?","","","","","","","","Pending"
"CLS0155","US22_CO_R1","US22","CO","Q03","S01","When interaction-history use is disabled, may declared interests still be used for personalization?","","","","","","","","Pending"
"CLS0156","US22_CO_R1","US22","CO","Q04","S01","How is “non-personalized popular content” calculated?","","","","","","","","Pending"
"CLS0157","US22_CO_R1","US22","CO","Q05","S01","How should recommendation ranking break ties between equally scored content items?","","","","","","","","Pending"
"CLS0158","US22_CO_R1","US22","CO","Q06","S01","[NEEDS CLARIFICATION] What exact threshold defines “sufficient history” for personalized recommendations?","","","","","","","","Pending"
"CLS0159","US22_CO_R1","US22","CO","Q07","S01","[NEEDS CLARIFICATION] What criteria make a content item “eligible” for recommendation?","","","","","","","","Pending"
"CLS0160","US22_CO_R1","US22","CO","Q08","S01","[NEEDS CLARIFICATION] When interaction-history use is disabled, may declared interests still be used for personalization?","","","","","","","","Pending"
"CLS0161","US22_CO_R1","US22","CO","Q09","S01","[NEEDS CLARIFICATION] How is “non-personalized popular content” calculated?","","","","","","","","Pending"
"CLS0162","US22_CO_R1","US22","CO","Q10","S01","[NEEDS CLARIFICATION] How should recommendation ranking break ties between equally scored content items?","","","","","","","","Pending"
"CLS0163","US22_CS_R1","US22","CS","Q01","S01","What minimum profile/history data qualifies a user for personalized similar-profile recommendations?","","","","","","","","Pending"
"CLS0164","US22_CS_R1","US22","CS","Q02","S01","Which behavioral events from the Interaction History Service count as eligible signals for similarity: viewed, saved, positive feedback, or another defined subset?","","","","","","","","Pending"
"CLS0165","US22_CS_R1","US22","CS","Q03","S01","When interaction-history use is disabled, may recommendations still use declared interests from the Profile Service?","","","","","","","","Pending"
"CLS0166","US22_CS_R1","US22","CS","Q04","S01","How should non-personalized “popular eligible content” be determined?","","","","","","","","Pending"
"CLS0167","US22_CS_R1","US22","CS","Q05","S01","What makes a content item eligible or ineligible for recommendation from the Content Catalog?","","","","","","","","Pending"
"CLS0168","US22_CS_R1","US22","CS","Q06","S01","[NEEDS CLARIFICATION] What minimum profile/history data qualifies a user for personalized similar-profile recommendations?","","","","","","","","Pending"
"CLS0169","US22_CS_R1","US22","CS","Q07","S01","[NEEDS CLARIFICATION] Which behavioral events from the Interaction History Service count as eligible signals for similarity: viewed, saved, positive feedback, or another defined subset?","","","","","","","","Pending"
"CLS0170","US22_CS_R1","US22","CS","Q08","S01","[NEEDS CLARIFICATION] When interaction-history use is disabled, may recommendations still use declared interests from the Profile Service?","","","","","","","","Pending"
