"gap_ref_ID","US_ID","Context category","Condition","projected gap","Reference answer","textual evidence","Expected need"
"US01_CS_03","US01","Sistêmica","CS","System dependency not required for The Authentication Service","The Authentication Service is not required for read-only public searches","The Authentication Service is not required for read-only public searches.","Necessária/bloqueante"
"US02_CL_01","US02","Léxica","CL","Definition of ZIP code","the postal code used to identify the geographic area of the search","A ZIP code is the postal code used to identify the geographic area of the search.","Necessária/bloqueante"
"US02_CL_02","US02","Léxica","CL","Definition of nearby recycling facility","a registered facility located within the configured search radius","A nearby recycling facility is a registered facility located within the configured search radius.","Necessária/bloqueante"
"US02_CL_03","US02","Léxica","CL","Definition of result list","an ordered collection of matching facilities, not a saved favorites list","A result list is an ordered collection of matching facilities, not a saved favorites list.","Necessária/bloqueante"
"US02_CO_01","US02","Operacional","CO","Validation rule for ZIP code","The ZIP code must be validated before the search is submitted","The ZIP code must be validated before the search is submitted.","Necessária/bloqueante"
"US02_CO_02","US02","Operacional","CO","Maximum limit applicable to default search radius","The default search radius is 25 miles, and no more than 20 active facilities are returned","The default search radius is 25 miles, and no more than 20 active facilities are returned.","Necessária/bloqueante"
"US02_CO_03","US02","Operacional","CO","Ordering or ranking rule for Results","Results are ordered by distance from the geographic center of the submitted ZIP code","Results are ordered by distance from the geographic center of the submitted ZIP code.","Necessária/bloqueante"
"US02_CD_01","US02","Decisória","CD","Rationale for selecting ZIP-code search","ZIP-code search was selected instead of mandatory device location to preserve user privacy and support desktop users","ZIP-code search was selected instead of mandatory device location to preserve user privacy and support desktop users.","Útil/não bloqueante"
"US02_CD_02","US02","Decisória","CD","Rationale for selecting Straight-line distance","Straight-line distance was selected for the initial version instead of travel-time estimation","Straight-line distance was selected for the initial version instead of travel-time estimation.","Útil/não bloqueante"
"US02_CD_03","US02","Decisória","CD","Decision to exclude Inactive and unverified facilities are excluded from search results","Inactive and unverified facilities are excluded from search results","Inactive and unverified facilities are excluded from search results.","Útil/não bloqueante"
"US02_CS_01","US02","Sistêmica","CS","Component responsible for processing the ZIP code into geographic coordinates","The Geocoding Service converts the ZIP code into geographic coordinates","The Geocoding Service converts the ZIP code into geographic coordinates.","Necessária/bloqueante"
"US02_CS_02","US02","Sistêmica","CS","Source of facility coordinates, verification status, and active status","The Facility Directory provides facility coordinates, verification status, and active status","The Facility Directory provides facility coordinates, verification status, and active status.","Necessária/bloqueante"
"US02_CS_03","US02","Sistêmica","CS","Component responsible for delivering the result list to the web interface","The Search Service ranks the facilities and sends the result list to the web interface","The Search Service ranks the facilities and sends the result list to the web interface.","Necessária/bloqueante"
"US03_CL_01","US03","Léxica","CL","Definition of Recycling facility information","the public profile associated with a recycling center","Recycling facility information is the public profile associated with a recycling center.","Necessária/bloqueante"
"US03_CL_02","US03","Léxica","CL","Scope of Managing information","creating, editing, publishing, deactivating, and restoring a facility record","Managing information includes creating, editing, publishing, deactivating, and restoring a facility record.","Necessária/bloqueante"
"US03_CL_03","US03","Léxica","CL","Definition of active facility record","a published record that may appear in user searches","An active facility record is a published record that may appear in user searches.","Necessária/bloqueante"
"US03_CO_01","US03","Operacional","CO","Minimum threshold applicable to facility record","A facility record requires a name, address, contact channel, operating hours, and at least one accepted material category","A facility record requires a name, address, contact channel, operating hours, and at least one accepted material category.","Necessária/bloqueante"
"US03_CO_02","US03","Operacional","CO","Operational rule governing Removing a facility deactivates its public listing rather than deleting its historical record","Removing a facility deactivates its public listing rather than deleting its historical record","Removing a facility deactivates its public listing rather than deleting its historical record.","Necessária/bloqueante"
"US03_CO_03","US03","Operacional","CO","Operational rule governing Every change","Every change must record the administrator, timestamp, and changed fields","Every change must record the administrator, timestamp, and changed fields.","Necessária/bloqueante"
"US03_CD_01","US03","Decisória","CD","Rationale for selecting Soft deletion","Soft deletion was selected to preserve auditability and allow records to be restored","Soft deletion was selected to preserve auditability and allow records to be restored.","Útil/não bloqueante"
"US03_CD_02","US03","Decisória","CD","Decision on authorization: Only administrators may publish or deactivate facility records","Only administrators may publish or deactivate facility records","Only administrators may publish or deactivate facility records.","Útil/não bloqueante"
"US03_CD_03","US03","Decisória","CD","Prior decision or rationale concerning Changes to public data require a recorded reason when they remove or replace existing information","Changes to public data require a recorded reason when they remove or replace existing information","Changes to public data require a recorded reason when they remove or replace existing information.","Útil/não bloqueante"
"US03_CS_01","US03","Sistêmica","CS","Component responsible for storing through the Administration Portal","Administrators manage records through the Administration Portal","Administrators manage records through the Administration Portal.","Necessária/bloqueante"
"US03_CS_02","US03","Sistêmica","CS","Component responsible for storing the current record and its publication status","The Facility Directory stores the current record and its publication status","The Facility Directory stores the current record and its publication status.","Necessária/bloqueante"
"US03_CS_03","US03","Sistêmica","CS","Component responsible for storing each administrative change, while the public search reads only published records","The Audit Service records each administrative change, while the public search reads only published records","The Audit Service records each administrative change, while the public search reads only published records.","Útil/não bloqueante"
"US04_CL_01","US04","Léxica","CL","Definition of weekly schedule","a set of dated busy periods covering one calendar week","A weekly schedule is a set of dated busy periods covering one calendar week.","Necessária/bloqueante"
"US04_CL_02","US04","Léxica","CL","Definition of availability window","a time interval not occupied by an event in the uploaded schedule","An availability window is a time interval not occupied by an event in the uploaded schedule.","Necessária/bloqueante"
"US04_CL_03","US04","Léxica","CL","Definition of Best fit means that the facility can be visited during an availability window while it","open","Best fit means that the facility can be visited during an availability window while it is open.","Necessária/bloqueante"
"US04_CO_01","US04","Operacional","CO","Operational rule governing system","The system accepts iCalendar (.ics) files and CSV files that follow the published schedule template","The system accepts iCalendar (.ics) files and CSV files that follow the published schedule template.","Necessária/bloqueante"
"US04_CO_02","US04","Operacional","CO","Minimum threshold applicable to Only availability windows of at least 60 minutes","Only availability windows of at least 60 minutes are considered for recommendations","Only availability windows of at least 60 minutes are considered for recommendations.","Necessária/bloqueante"
"US04_CO_03","US04","Operacional","CO","Validation rule for Invalid or overlapping entries","Invalid or overlapping entries are reported to the user before recommendations are generated","Invalid or overlapping entries are reported to the user before recommendations are generated.","Necessária/bloqueante"
"US04_CD_01","US04","Decisória","CD","Rationale for selecting one-week planning horizon","A one-week planning horizon was selected to keep recommendations current and understandable","A one-week planning horizon was selected to keep recommendations current and understandable.","Útil/não bloqueante"
"US04_CD_02","US04","Decisória","CD","Prior decision or rationale concerning Availability is inferred from unoccupied periods rather than requiring users to label free time manually","Availability is inferred from unoccupied periods rather than requiring users to label free time manually","Availability is inferred from unoccupied periods rather than requiring users to label free time manually.","Útil/não bloqueante"
"US04_CD_03","US04","Decisória","CD","Prior decision or rationale concerning uploaded schedule is deleted after recommendations are generated to reduce retention of personal data","The uploaded schedule is deleted after recommendations are generated to reduce retention of personal data","The uploaded schedule is deleted after recommendations are generated to reduce retention of personal data.","Útil/não bloqueante"
"US04_CS_01","US04","Sistêmica","CS","Component responsible for validating the schedule file","The Upload Service receives and validates the schedule file","The Upload Service receives and validates the schedule file.","Necessária/bloqueante"
"US04_CS_02","US04","Sistêmica","CS","Component responsible for processing events into availability windows using the user's time zone","The Schedule Parser converts events into availability windows using the user's time zone","The Schedule Parser converts events into availability windows using the user's time zone.","Necessária/bloqueante"
"US04_CS_03","US04","Sistêmica","CS","System responsibility or dependency involving Recommendation Service combines availability","The Recommendation Service combines availability, facility opening hours, location, and estimated travel time","The Recommendation Service combines availability, facility opening hours, location, and estimated travel time.","Necessária/bloqueante"
"US05_CL_01","US05","Léxica","CL","Definition of facility representative","a verified person authorized to maintain one facility's public profile","A facility representative is a verified person authorized to maintain one facility's public profile.","Necessária/bloqueante"
"US05_CL_02","US05","Léxica","CL","Scope of Facility information","contact details, operating hours, accessibility information, and temporary notices","Facility information includes contact details, operating hours, accessibility information, and temporary notices.","Necessária/bloqueante"
"US05_CL_03","US05","Léxica","CL","Definition of Accepted materials","categories from the platform's controlled material taxonomy","Accepted materials are categories from the platform's controlled material taxonomy.","Necessária/bloqueante"
"US05_CO_01","US05","Operacional","CO","Authorization rule for representative","A representative may edit only facilities to which the representative is assigned","A representative may edit only facilities to which the representative is assigned.","Necessária/bloqueante"
"US05_CO_02","US05","Operacional","CO","Validation rule for Changes to contact details, hours, and accepted materials","Changes to contact details, hours, and accepted materials are validated before publication","Changes to contact details, hours, and accepted materials are validated before publication.","Necessária/bloqueante"
"US05_CO_03","US05","Operacional","CO","Operational rule governing Address, ownership, or permanent closure changes","Address, ownership, or permanent closure changes require administrator approval","Address, ownership, or permanent closure changes require administrator approval.","Necessária/bloqueante"
"US05_CD_01","US05","Decisória","CD","Rationale for Routine information is maintained by representatives","Routine information is maintained by representatives because they are closest to day-to-day facility operations","Routine information is maintained by representatives because they are closest to day-to-day facility operations.","Útil/não bloqueante"
"US05_CD_02","US05","Decisória","CD","Prior decision or rationale concerning High-impact identity and location changes remain subject to administrative review","High-impact identity and location changes remain subject to administrative review","High-impact identity and location changes remain subject to administrative review.","Útil/não bloqueante"
"US05_CD_03","US05","Decisória","CD","Rationale for selecting controlled material taxonomy","A controlled material taxonomy was selected to prevent inconsistent free-text descriptions","A controlled material taxonomy was selected to prevent inconsistent free-text descriptions.","Útil/não bloqueante"
"US05_CS_01","US05","Sistêmica","CS","Component responsible for validating facility assignments","The Representative Portal authenticates the representative and checks facility assignments","The Representative Portal authenticates the representative and checks facility assignments.","Necessária/bloqueante"
"US05_CS_02","US05","Sistêmica","CS","Component responsible for storing proposed and published values","The Facility Directory stores proposed and published values","The Facility Directory stores proposed and published values.","Necessária/bloqueante"
"US05_CS_03","US05","Sistêmica","CS","Component responsible for delivering the representative of the decision","The Administration Workflow receives changes that require approval and notifies the representative of the decision","The Administration Workflow receives changes that require approval and notifies the representative of the decision.","Necessária/bloqueante"
"US06_CL_01","US06","Léxica","CL","Definition of moderator","the participant authorized to configure and control a game","A moderator is the participant authorized to configure and control a game.","Necessária/bloqueante"
"US06_CL_02","US06","Léxica","CL","Definition of estimator","a participant who may submit estimates during rounds","An estimator is a participant who may submit estimates during rounds.","Necessária/bloqueante"
"US06_CL_03","US06","Léxica","CL","Definition of invitation URL","a shareable link containing a game-specific access token","An invitation URL is a shareable link containing a game-specific access token.","Necessária/bloqueante"
"US06_CO_01","US06","Operacional","CO","Authorization rule for game","A game has one active invitation URL that may be copied and shared by the moderator","A game has one active invitation URL that may be copied and shared by the moderator.","Necessária/bloqueante"
"US06_CO_02","US06","Operacional","CO","Validation rule for URL","The URL remains valid until the game is closed or the moderator regenerates it","The URL remains valid until the game is closed or the moderator regenerates it.","Necessária/bloqueante"
"US06_CO_03","US06","Operacional","CO","Validation rule for Opening a valid URL takes the estimator to the game's join page","Opening a valid URL takes the estimator to the game's join page","Opening a valid URL takes the estimator to the game's join page.","Necessária/bloqueante"
"US06_CD_01","US06","Decisória","CD","Rationale for selecting shareable link","A shareable link was selected instead of individual email invitations to reduce setup time","A shareable link was selected instead of individual email invitations to reduce setup time.","Útil/não bloqueante"
"US06_CD_02","US06","Decisória","CD","Decision on whether Estimators are not required to create an account before joining is required","Estimators are not required to create an account before joining","Estimators are not required to create an account before joining.","Útil/não bloqueante"
"US06_CD_03","US06","Decisória","CD","Prior decision or rationale concerning same invitation URL may be used by multiple estimators","The same invitation URL may be used by multiple estimators, while participant identity is established on the join page","The same invitation URL may be used by multiple estimators, while participant identity is established on the join page.","Útil/não bloqueante"
"US06_CS_01","US06","Sistêmica","CS","Component responsible for storing the invitation token","The Game Service creates and stores the invitation token","The Game Service creates and stores the invitation token.","Necessária/bloqueante"
"US06_CS_02","US06","Sistêmica","CS","Component responsible for delivering the token to the Lobby Service for validation","The Join Page sends the token to the Lobby Service for validation","The Join Page sends the token to the Lobby Service for validation.","Necessária/bloqueante"
"US06_CS_03","US06","Sistêmica","CS","Source of a copy action","The Moderator Interface displays the URL and provides a copy action","The Moderator Interface displays the URL and provides a copy action.","Necessária/bloqueante"
"US07_CL_01","US07","Léxica","CL","Definition of spreadsheet","a CSV or XLSX file containing one user story per row","A spreadsheet is a CSV or XLSX file containing one user story per row.","Necessária/bloqueante"
"US07_CL_02","US07","Léxica","CL","Definition of user story","an estimation item with a title and story text","A user story is an estimation item with a title and story text.","Necessária/bloqueante"
"US07_CL_03","US07","Léxica","CL","Definition of import batch","the set of rows submitted in one spreadsheet upload","An import batch is the set of rows submitted in one spreadsheet upload.","Necessária/bloqueante"
"US07_CO_01","US07","Operacional","CO","Required data or conditions for file","The file must contain the columns Title and Story, while Identifier and Notes are optional","The file must contain the columns Title and Story, while Identifier and Notes are optional.","Necessária/bloqueante"
"US07_CO_02","US07","Operacional","CO","Validation rule for system","The system validates all rows and displays a preview before any story is created","The system validates all rows and displays a preview before any story is created.","Necessária/bloqueante"
"US07_CO_03","US07","Operacional","CO","Validation rule for Valid rows","Valid rows are imported after confirmation; invalid rows remain excluded and are listed in an error report","Valid rows are imported after confirmation; invalid rows remain excluded and are listed in an error report.","Necessária/bloqueante"
"US07_CD_01","US07","Decisória","CD","Rationale for selecting confirmation preview","A confirmation preview was selected to prevent accidental bulk creation","A confirmation preview was selected to prevent accidental bulk creation.","Útil/não bloqueante"
"US07_CD_02","US07","Decisória","CD","Prior decision or rationale concerning Existing stories are not overwritten automatically when a duplicate identifier is detected","Existing stories are not overwritten automatically when a duplicate identifier is detected","Existing stories are not overwritten automatically when a duplicate identifier is detected.","Útil/não bloqueante"
"US07_CD_03","US07","Decisória","CD","Rationale for selecting Partial import","Partial import was selected so valid rows can be used without forcing the moderator to correct the whole file first","Partial import was selected so valid rows can be used without forcing the moderator to correct the whole file first.","Útil/não bloqueante"
"US07_CS_01","US07","Sistêmica","CS","Component responsible for validating the uploaded spreadsheet","The Import Service parses and validates the uploaded spreadsheet","The Import Service parses and validates the uploaded spreadsheet.","Necessária/bloqueante"
"US07_CS_02","US07","Sistêmica","CS","Component responsible for creating the confirmed stories in the selected game","The Backlog Service creates the confirmed stories in the selected game","The Backlog Service creates the confirmed stories in the selected game.","Necessária/bloqueante"
"US07_CS_03","US07","Sistêmica","CS","System responsibility or dependency involving Error Reporting component returns row numbers and validation messages to the moderator interface","The Error Reporting component returns row numbers and validation messages to the moderator interface","The Error Reporting component returns row numbers and validation messages to the moderator interface.","Útil/não bloqueante"
"US08_CL_01","US08","Léxica","CL","Definition of estimate","the value submitted by an estimator for the current item","An estimate is the value submitted by an estimator for the current item.","Necessária/bloqueante"
"US08_CL_02","US08","Léxica","CL","Definition of active estimator","a connected participant who is eligible to estimate in the current round","An active estimator is a connected participant who is eligible to estimate in the current round.","Necessária/bloqueante"
"US08_CL_03","US08","Léxica","CL","Meaning of Revealing estimates","making all submitted values visible to every participant","Revealing estimates means making all submitted values visible to every participant.","Necessária/bloqueante"
"US08_CO_01","US08","Operacional","CO","Time constraint applicable to Submitted estimates","Submitted estimates remain hidden until every active estimator has submitted or the moderator closes voting","Submitted estimates remain hidden until every active estimator has submitted or the moderator closes voting.","Necessária/bloqueante"
"US08_CO_02","US08","Operacional","CO","Operational rule governing All stored estimates","All stored estimates are revealed in one broadcast event","All stored estimates are revealed in one broadcast event.","Necessária/bloqueante"
"US08_CO_03","US08","Operacional","CO","Restriction applicable to After reveal, estimates","After reveal, estimates cannot be changed unless the moderator starts a new round","After reveal, estimates cannot be changed unless the moderator starts a new round.","Necessária/bloqueante"
"US08_CD_01","US08","Decisória","CD","Rationale for selecting Simultaneous reveal","Simultaneous reveal was selected to reduce anchoring and social influence","Simultaneous reveal was selected to reduce anchoring and social influence.","Útil/não bloqueante"
"US08_CD_02","US08","Decisória","CD","Decision to exclude Spectators and disconnected participants are excluded from the completion count","Spectators and disconnected participants are excluded from the completion count","Spectators and disconnected participants are excluded from the completion count.","Útil/não bloqueante"
"US08_CD_03","US08","Decisória","CD","Prior decision or rationale concerning moderator may close voting manually when waiting for every active estimator is no longer appropriate","The moderator may close voting manually when waiting for every active estimator is no longer appropriate","The moderator may close voting manually when waiting for every active estimator is no longer appropriate.","Útil/não bloqueante"
"US08_CS_01","US08","Sistêmica","CS","Component responsible for storing estimates with a hidden status","The Game Service stores estimates with a hidden status","The Game Service stores estimates with a hidden status.","Necessária/bloqueante"
"US08_CS_02","US08","Sistêmica","CS","Source of the set of active estimators","The Presence Service provides the set of active estimators","The Presence Service provides the set of active estimators.","Necessária/bloqueante"
"US08_CS_03","US08","Sistêmica","CS","Component responsible for delivering the reveal event and all estimates to connected participants","The Realtime Gateway broadcasts the reveal event and all estimates to connected participants","The Realtime Gateway broadcasts the reveal event and all estimates to connected participants.","Necessária/bloqueante"
"US09_CL_01","US09","Léxica","CL","Definition of location","a venue or site containing one or more rooms","A location is a venue or site containing one or more rooms.","Necessária/bloqueante"
"US09_CL_02","US09","Léxica","CL","Definition of room","a reservable space registered under a location","A room is a reservable space registered under a location.","Necessária/bloqueante"
"US09_CL_03","US09","Léxica","CL","Definition of time slot","a defined start-and-end interval in the event schedule","A time slot is a defined start-and-end interval in the event schedule.","Necessária/bloqueante"
"US09_CO_01","US09","Operacional","CO","Operational rule governing selected room","The selected room must belong to the selected location","The selected room must belong to the selected location.","Necessária/bloqueante"
"US09_CO_02","US09","Operacional","CO","Restriction applicable to room","A room cannot be assigned to overlapping schedule entries","A room cannot be assigned to overlapping schedule entries.","Necessária/bloqueante"
"US09_CO_03","US09","Operacional","CO","Operational rule governing room capacity","The room capacity must be equal to or greater than the expected attendance of the scheduled session","The room capacity must be equal to or greater than the expected attendance of the scheduled session.","Necessária/bloqueante"
"US09_CD_01","US09","Decisória","CD","Prior decision or rationale concerning Room capacity is treated as a hard scheduling constraint","Room capacity is treated as a hard scheduling constraint","Room capacity is treated as a hard scheduling constraint.","Útil/não bloqueante"
"US09_CD_02","US09","Decisória","CD","Rationale for selecting Manual assignment","Manual assignment was selected for the initial version instead of automatic room optimization","Manual assignment was selected for the initial version instead of automatic room optimization.","Útil/não bloqueante"
"US09_CD_03","US09","Decisória","CD","Prior decision or rationale concerning All time slots use the time zone configured for the event","All time slots use the time zone configured for the event","All time slots use the time zone configured for the event.","Útil/não bloqueante"
"US09_CS_01","US09","Sistêmica","CS","Component responsible for storing the assignment between session, time slot, room, and location","The Scheduling Service stores the assignment between session, time slot, room, and location","The Scheduling Service stores the assignment between session, time slot, room, and location.","Necessária/bloqueante"
"US09_CS_02","US09","Sistêmica","CS","Source of room membership, capacity, and availability","The Venue Catalog provides room membership, capacity, and availability","The Venue Catalog provides room membership, capacity, and availability.","Necessária/bloqueante"
"US09_CS_03","US09","Sistêmica","CS","Source of the expected attendance and session identifier","The Session Registry provides the expected attendance and session identifier","The Session Registry provides the expected attendance and session identifier.","Necessária/bloqueante"
"US10_CL_01","US10","Léxica","CL","Definition of anonymous user","a visitor who has not authenticated","An anonymous user is a visitor who has not authenticated.","Necessária/bloqueante"
"US10_CL_02","US10","Léxica","CL","Definition of Camp registration","an application to attend a specified camp session","Camp registration is an application to attend a specified camp session.","Necessária/bloqueante"
"US10_CL_03","US10","Léxica","CL","Definition of website account","an identity record that can later be used to sign in","A website account is an identity record that can later be used to sign in.","Necessária/bloqueante"
"US10_CO_01","US10","Operacional","CO","Required data or conditions for form","The form requires name, email address, password, selected camp, and acceptance of required terms","The form requires name, email address, password, selected camp, and acceptance of required terms.","Necessária/bloqueante"
"US10_CO_02","US10","Operacional","CO","Operational rule governing email address","The email address must not already belong to another account","The email address must not already belong to another account.","Necessária/bloqueante"
"US10_CO_03","US10","Operacional","CO","Operational rule governing successful submission","A successful submission creates a pending registration and sends an email-verification message","A successful submission creates a pending registration and sends an email-verification message.","Necessária/bloqueante"
"US10_CD_01","US10","Decisória","CD","Rationale for selecting One combined form","One combined form was selected to avoid separate account-creation and camp-registration flows","One combined form was selected to avoid separate account-creation and camp-registration flows.","Útil/não bloqueante"
"US10_CD_02","US10","Decisória","CD","Prior decision or rationale concerning Email verification is required before the account and registration become active","Email verification is required before the account and registration become active","Email verification is required before the account and registration become active.","Útil/não bloqueante"
"US10_CD_03","US10","Decisória","CD","Decision on the interpretation of Registration data","Registration data is not treated as confirmed attendance until verification is completed","Registration data is not treated as confirmed attendance until verification is completed.","Útil/não bloqueante"
"US10_CS_01","US10","Sistêmica","CS","Component responsible for creating the pending registration","The Registration Service validates the selected camp and creates the pending registration","The Registration Service validates the selected camp and creates the pending registration.","Necessária/bloqueante"
"US10_CS_02","US10","Sistêmica","CS","Component responsible for creating the pending website account","The Identity Service creates the pending website account","The Identity Service creates the pending website account.","Necessária/bloqueante"
"US10_CS_03","US10","Sistêmica","CS","Component responsible for delivering the verification link and reports delivery status","The Email Service sends the verification link and reports delivery status","The Email Service sends the verification link and reports delivery status.","Útil/não bloqueante"
"US11_CL_01","US11","Léxica","CL","Definition of picture","an image captured by the device camera or selected from local storage","A picture is an image captured by the device camera or selected from local storage.","Necessária/bloqueante"
"US11_CL_02","US11","Léxica","CL","Definition of related video","a catalog video whose visual concepts are similar to those detected in the picture","A related video is a catalog video whose visual concepts are similar to those detected in the picture.","Necessária/bloqueante"
"US11_CL_03","US11","Léxica","CL","Definition of Visual similarity","similarity between extracted objects, scenes, and visual embeddings","Visual similarity is similarity between extracted objects, scenes, and visual embeddings.","Necessária/bloqueante"
"US11_CO_01","US11","Operacional","CO","Maximum limit applicable to system","The system accepts JPEG, PNG, and WebP images up to 10 MB","The system accepts JPEG, PNG, and WebP images up to 10 MB.","Necessária/bloqueante"
"US11_CO_02","US11","Operacional","CO","Maximum limit applicable to system analyzes the image and","The system analyzes the image and returns up to 20 eligible videos ranked by visual similarity","The system analyzes the image and returns up to 20 eligible videos ranked by visual similarity.","Necessária/bloqueante"
"US11_CO_03","US11","Operacional","CO","System behavior when no usable visual features are detected","If no usable visual features are detected, the user receives an explanation instead of unrelated recommendations","If no usable visual features are detected, the user receives an explanation instead of unrelated recommendations.","Necessária/bloqueante"
"US11_CD_01","US11","Decisória","CD","Rationale for selecting Visual content","Visual content was selected as the recommendation signal instead of file names or image metadata","Visual content was selected as the recommendation signal instead of file names or image metadata.","Útil/não bloqueante"
"US11_CD_02","US11","Decisória","CD","Decision to exclude Face identification is excluded from the feature","Face identification is excluded from the feature","Face identification is excluded from the feature.","Útil/não bloqueante"
"US11_CD_03","US11","Decisória","CD","Prior decision or rationale concerning uploaded image is deleted after feature extraction and is not retained in the user's profile","The uploaded image is deleted after feature extraction and is not retained in the user's profile","The uploaded image is deleted after feature extraction and is not retained in the user's profile.","Útil/não bloqueante"
"US11_CS_01","US11","Sistêmica","CS","Source of the image to the Image Analysis Service","The Capture and Upload component supplies the image to the Image Analysis Service","The Capture and Upload component supplies the image to the Image Analysis Service.","Necessária/bloqueante"
"US11_CS_02","US11","Sistêmica","CS","System responsibility or dependency involving Image Analysis Service produces visual features for the Recommendation Engine","The Image Analysis Service produces visual features for the Recommendation Engine","The Image Analysis Service produces visual features for the Recommendation Engine.","Necessária/bloqueante"
"US11_CS_03","US11","Sistêmica","CS","Source of eligible videos and metadata, while the results are displayed in the recommendation interface","The Video Catalog supplies eligible videos and metadata, while the results are displayed in the recommendation interface","The Video Catalog supplies eligible videos and metadata, while the results are displayed in the recommendation interface.","Necessária/bloqueante"
"US12_CL_01","US12","Léxica","CL","Definition of subject","an item presented to volunteers for classification","A subject is an item presented to volunteers for classification.","Necessária/bloqueante"
"US12_CL_02","US12","Léxica","CL","Definition of annotation","a structured volunteer response associated with a subject","An annotation is a structured volunteer response associated with a subject.","Necessária/bloqueante"
"US12_CL_03","US12","Léxica","CL","Definition of scientist prompt","a notification requesting expert review of a subject","A scientist prompt is a notification requesting expert review of a subject.","Necessária/bloqueante"
"US12_CO_01","US12","Operacional","CO","Minimum threshold applicable to subject","A subject becomes eligible for review after at least 20 annotations have been collected","A subject becomes eligible for review after at least 20 annotations have been collected.","Necessária/bloqueante"
"US12_CO_02","US12","Operacional","CO","Minimum threshold applicable to prompt","A prompt is triggered when the annotation-disagreement score exceeds 0.40 or when at least three Talk comments are flagged as requesting expert attention","A prompt is triggered when the annotation-disagreement score exceeds 0.40 or when at least three Talk comments are flagged as requesting expert attention.","Necessária/bloqueante"
"US12_CO_03","US12","Operacional","CO","Authorization rule for scientist","A scientist may dismiss the prompt, mark the subject as reviewed, or request additional volunteer classifications","A scientist may dismiss the prompt, mark the subject as reviewed, or request additional volunteer classifications.","Necessária/bloqueante"
"US12_CD_01","US12","Decisória","CD","Prior decision or rationale concerning Annotation evidence and Talk evidence were combined so that structured disagreement and qualitative concerns can both surface a subject","Annotation evidence and Talk evidence were combined so that structured disagreement and qualitative concerns can both surface a subject","Annotation evidence and Talk evidence were combined so that structured disagreement and qualitative concerns can both surface a subject.","Útil/não bloqueante"
"US12_CD_02","US12","Decisória","CD","Prior decision or rationale concerning scientist remains responsible for the final interpretation; the system does not automatically resolve or retire the subject","The scientist remains responsible for the final interpretation; the system does not automatically resolve or retire the subject","The scientist remains responsible for the final interpretation; the system does not automatically resolve or retire the subject.","Útil/não bloqueante"
"US12_CD_03","US12","Decisória","CD","Rationale for selecting Fixed thresholds","Fixed thresholds were selected for the experiment to make the trigger rule explicit and reproducible","Fixed thresholds were selected for the experiment to make the trigger rule explicit and reproducible.","Útil/não bloqueante"
"US12_CS_01","US12","Sistêmica","CS","Source of counts and disagreement measures","The Annotation Service provides counts and disagreement measures","The Annotation Service provides counts and disagreement measures.","Necessária/bloqueante"
"US12_CS_02","US12","Sistêmica","CS","Source of comments and moderation flags associated with the subject","The Talk Service provides comments and moderation flags associated with the subject","The Talk Service provides comments and moderation flags associated with the subject.","Necessária/bloqueante"
