"Comparison_ID","US_ID","Gap_ID","Final_Gap_Label","Gap_Category","Base_Condition","Compared_Condition","Present_in_C0","Present_in_Compared","C0_Coverage","Compared_Coverage","Compared_Relevance","Behavior","Evidence"
"CMP023","US02","US02_G07","Geocoding/facility directory unavailable behavior","Operational","C0","CL","No","Yes","N/A","Unanswered","Necessary","Emergent","ABSENT. No provided material or reference entry defines the behavior when the facility data source is unavailable. | Emergent gap."
"CMP024","US02","US02_G07","Geocoding/facility directory unavailable behavior","Operational","C0","CO","No","Yes","N/A","Unanswered","Necessary","Emergent","ABSENT. The operational context does not define the behavior when the facility directory or geocoding lookup is unavailable. | Emergent gap."
"CMP025","US02","US02_G07","Geocoding/facility directory unavailable behavior","Operational","C0","CS","No","Yes","N/A","Unanswered","Necessary","Emergent","ABSENT. The systemic context names the Geocoding Service and the Facility Directory but does not define behavior when they are unavailable. | Emergent gap. | Partial coverage was reviewed against the execution material."
"CMP026","US02","US02_G07","Geocoding/facility directory unavailable behavior","Operational","C0","CT","No","Yes","N/A","Unanswered","Necessary","Emergent","ABSENT. None of the four context blocks defines behavior when the Geocoding Service or Facility Directory is unavailable. | Emergent gap. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP027","US02","US02_G08","Active versus verified facility status requirement","Decisional","C0","CO","No","Yes","N/A","Unanswered","Necessary","Emergent","No explicit statement in the User Story or supplied context defines whether “active facilities” means active status only or both active and verified status. | A related decision exists in the reference (US02_CD_03: inactive and unverified facilities are excluded), which was not provided in this run. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP028","US02","US02_G09","Accepted material type filtering scope","Operational","C0","CS","No","Yes","N/A","Unanswered","Useful","Emergent","ABSENT. Neither the user story nor the provided context addresses filtering by accepted material type. | Scope extension; does not block the core search flow."
"CMP029","US02","US02_G10","ZIP code or search activity retention decision","Decisional","C0","CT","No","Yes","N/A","Unanswered","Useful","Emergent","ABSENT. No context block addresses retention of submitted ZIP codes or search activity. | Emergent gap; the decisional block covers other privacy decisions but not data retention. | Equivalent duplicate in the same Run_ID."
"CMP030","US08","US08_G01","Required estimator set definition timing","Operational","C0","CL","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP031","US08","US08_G01","Required estimator set definition timing","Operational","C0","CO","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | The term is used, but when the set is fixed is not stated. | Partial coverage was reviewed against the execution material."
"CMP032","US08","US08_G01","Required estimator set definition timing","Operational","C0","CD","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | The exclusion suggests a dynamically maintained set; the exact rule for when the set is fixed is not stated. | Equivalent duplicate in the same Run_ID."
"CMP033","US08","US08_G01","Required estimator set definition timing","Operational","C0","CS","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","CTX CS: ""The Presence Service provides the set of active estimators."" (context provided in this run) | The source of the set is named; whether it is fixed at round start or recalculated at reveal time is not stated. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP034","US08","US08_G01","Required estimator set definition timing","Operational","C0","CT","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP035","US08","US08_G02","Disconnect-before-submit reveal trigger behavior","Operational","C0","CL","Yes","Yes","Unanswered","Partially answered","Necessary","Persistent","CTX CL: ""An active estimator is a connected participant who is eligible to estimate in the current round."" (context provided in this run) | By definition, a disconnected participant is no longer an active estimator, which partially answers the exclusion; the reveal-trigger timing is not stated. | Partial coverage was reviewed against the execution material."
"CMP036","US08","US08_G02","Disconnect-before-submit reveal trigger behavior","Operational","C0","CO","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP037","US08","US08_G02","Disconnect-before-submit reveal trigger behavior","Operational","C0","CD","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP038","US08","US08_G02","Disconnect-before-submit reveal trigger behavior","Operational","C0","CS","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | The reveal-trigger timing after a disconnect remains unspecified. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material. | Related reference answer exists but was not provided in this execution condition: US08_CD_02: ""Spectators and disconnected participants are excluded from the completion count."" (reference sheet; not provided under CS)"
"CMP039","US08","US08_G02","Disconnect-before-submit reveal trigger behavior","Operational","C0","CT","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP040","US08","US08_G03","Visibility of revealed estimates to participant roles/reconnections","Operational","C0","CL","Yes","Yes","Unanswered","Partially answered","Necessary","Persistent","CTX CL states that revealing estimates makes all submitted values visible to every participant, but it does not explicitly address spectators or later reconnecting participants. | Visibility to every participant is stated; whether spectators count as participants remains ambiguous."
"CMP041","US08","US08_G03","Visibility of revealed estimates to participant roles/reconnections","Operational","C0","CO","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP042","US08","US08_G03","Visibility of revealed estimates to participant roles/reconnections","Operational","C0","CD","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP043","US08","US08_G03","Visibility of revealed estimates to participant roles/reconnections","Operational","C0","CS","Yes","Yes","Unanswered","Unanswered","Useful","Unchanged","CTX CS: ""The Realtime Gateway broadcasts the reveal event and all estimates to connected participants."" (context provided in this run) | The broadcast targets participants connected at reveal time; replay for later reconnections is not addressed. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP044","US08","US08_G03","Visibility of revealed estimates to participant roles/reconnections","Operational","C0","CT","Yes","Yes","Unanswered","Redundant","Necessary","Persistent","CTX CL (within CT): ""Revealing estimates means making all submitted values visible to every participant."" | Visibility to every participant is stated; late-joining participants remain ambiguous. | Equivalent duplicate in the same Run_ID."
"CMP045","US08","US08_G04","Zero-estimate moderator closure behavior","Operational","C0","CL","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","ABSENT. Neither the lexical context nor any reference entry defines the round state when voting is closed with no estimates. | Emergent gap."
"CMP046","US08","US08_G04","Zero-estimate moderator closure behavior","Decisional","C0","CO","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | Closing voting implies a reveal trigger; the resulting state with zero estimates is not defined."
"CMP047","US08","US08_G04","Zero-estimate moderator closure behavior","Decisional","C0","CD","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | Manual closing is covered; the resulting round state with zero estimates is not defined. | Equivalent duplicate in the same Run_ID."
"CMP048","US08","US08_G04","Zero-estimate moderator closure behavior","Operational","C0","CS","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","ABSENT. Neither the systemic context nor any reference entry defines the round state when voting is closed with zero estimates. | Emergent gap. | Equivalent duplicate in the same Run_ID."
"CMP049","US08","US08_G04","Zero-estimate moderator closure behavior","Operational","C0","CT","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","ABSENT. None of the four context blocks defines what participants see when voting is closed with no estimates. | Emergent gap. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP050","US08","US08_G05","Disconnected submitter estimate reveal behavior","Operational","C0","CL","No","Yes","N/A","Unanswered","Necessary","Emergent","Not found in the execution material. | Related reference answer exists but was not provided in this execution condition: US08_CO_02: ""All stored estimates are revealed in one broadcast event."" (reference sheet; not provided under CL)"
"CMP051","US08","US08_G05","Disconnected submitter estimate reveal behavior","Operational","C0","CO","No","Yes","N/A","Redundant","Necessary","Emergent","CTX CO: ""All stored estimates are revealed in one broadcast event."" (context provided in this run) | The provided rule already states that every stored estimate is revealed, which covers the disconnected-submitter case."
"CMP052","US08","US08_G05","Disconnected submitter estimate reveal behavior","Operational","C0","CD","No","Yes","N/A","Unanswered","Necessary","Emergent","Not found in the execution material. | The provided decisional context covers only the completion count, not the fate of stored estimates. | Equivalent duplicate in the same Run_ID. | Related reference answer exists but was not provided in this execution condition: US08_CO_02: ""All stored estimates are revealed in one broadcast event."" (reference sheet; not provided under CD)"
"CMP053","US08","US08_G05","Disconnected submitter estimate reveal behavior","Operational","C0","CT","No","Yes","N/A","Redundant","Necessary","Emergent","CTX CO (within CT): ""All stored estimates are revealed in one broadcast event."" | The provided rule already covers the disconnected-submitter case. | Equivalent duplicate in the same Run_ID."
"CMP054","US08","US08_G06","Reconnected submitter completion status","Operational","C0","CD","No","Yes","N/A","Unanswered","Necessary","Emergent","CTX CD: ""Spectators and disconnected participants are excluded from the completion count."" (context provided in this run) | Exclusion on disconnect is covered; the reconnection case is not addressed. | Equivalent duplicate in the same Run_ID."
"CMP055","US08","US08_G07","Pre-reveal estimate modification rule","Operational","C0","CD","No","Yes","N/A","Unanswered","Necessary","Emergent","Not found in the execution material. | Emergent gap. | Equivalent duplicate in the same Run_ID."
"CMP056","US08","US08_G07","Pre-reveal estimate modification rule","Operational","C0","CS","No","Yes","N/A","Unanswered","Necessary","Emergent","Not found in the execution material. | Emergent gap; the reference covers only the post-reveal restriction (US08_CO_03). | Equivalent duplicate in the same Run_ID."
"CMP057","US08","US08_G08","Post-reveal estimate change handling","Operational","C0","CL","No","Yes","N/A","Unanswered","Necessary","Emergent","Not found in the execution material. | The reference states the restriction; the requested feedback behavior (reject, ignore, or new-round request) is not specified."
"CMP058","US08","US08_G09","Required completion count timing when active set changes","Operational","C0","CT","No","Yes","N/A","Unanswered","Necessary","Emergent","Not found in the execution material. | Membership exclusions are covered; the exact moment the required count is determined is not. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP059","US08","US08_G10","Reveal broadcast failure behavior","Operational","C0","CT","No","Yes","N/A","Unanswered","Necessary","Emergent","Not found in the execution material. | Emergent gap. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP060","US19","US19_G01","Scope of waitlist feature workflows","Decisional","C0","CL","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP061","US19","US19_G01","Scope of waitlist feature workflows","Decisional","C0","CO","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP062","US19","US19_G01","Scope of waitlist feature workflows","Decisional","C0","CD","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP063","US19","US19_G01","Scope of waitlist feature workflows","Decisional","C0","CS","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP064","US19","US19_G01","Scope of waitlist feature workflows","Decisional","C0","CT","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP065","US19","US19_G02","Waitlist eligibility definition","Lexical","C0","CL","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP066","US19","US19_G02","Waitlist eligibility definition","Operational","C0","CO","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | The join conditions are stated, but person-level eligibility is not defined."
"CMP067","US19","US19_G02","Waitlist eligibility definition","Lexical","C0","CD","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | The provided context uses ""no longer eligible"" without defining eligibility."
"CMP068","US19","US19_G02","Waitlist eligibility definition","Lexical","C0","CS","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP069","US19","US19_G02","Waitlist eligibility definition","Lexical","C0","CT","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP070","US19","US19_G03","Tie-breaking rule for simultaneous waitlist joins","Operational","C0","CL","Yes","Yes","Unanswered","Unanswered","Useful","Unchanged","Not found in the execution material. | The tie-breaking criterion remains unspecified."
"CMP071","US19","US19_G03","Tie-breaking rule for simultaneous waitlist joins","Operational","C0","CO","Yes","Yes","Unanswered","Partially answered","Necessary","Persistent","Results have previous ordering, but lack a tie-breaker criterion. | The quoted rule covers base ordering; the tie-breaking criterion is absent. | Partial coverage was reviewed against the execution material."
"CMP072","US19","US19_G03","Tie-breaking rule for simultaneous waitlist joins","Operational","C0","CD","Yes","Yes","Unanswered","Partially answered","Useful","Persistent","Results have previous ordering, but lack a tie-breaker criterion. | The rationale confirms the ordering principle; the tie-breaking criterion is absent. See also REF US19_CO_02. | Partial coverage was reviewed against the execution material."
"CMP073","US19","US19_G03","Tie-breaking rule for simultaneous waitlist joins","Operational","C0","CS","Yes","Yes","Unanswered","Unanswered","Useful","Unchanged","Not found in the execution material. | The tie-breaking criterion remains unspecified."
"CMP074","US19","US19_G03","Tie-breaking rule for simultaneous waitlist joins","Operational","C0","CT","Yes","Yes","Unanswered","Partially answered","Useful","Persistent","Results have previous ordering, but lack a tie-breaker criterion. | The quoted rule covers base ordering; the tie-breaking criterion is absent. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP075","US19","US19_G04","Duplicate waitlist entry handling","Operational","C0","CL","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP076","US19","US19_G04","Duplicate waitlist entry handling","Operational","C0","CO","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP077","US19","US19_G04","Duplicate waitlist entry handling","Operational","C0","CD","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP078","US19","US19_G04","Duplicate waitlist entry handling","Operational","C0","CS","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP079","US19","US19_G04","Duplicate waitlist entry handling","Operational","C0","CT","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP080","US19","US19_G05","Available-place offer and next-step process","Operational","C0","CL","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","ABSENT. Neither the lexical context nor any reference entry defines the flow after an offer expires or is declined. | Emergent gap."
"CMP081","US19","US19_G05","Available-place offer and next-step process","Operational","C0","CO","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","CTX CO: ""When a place becomes available, the first eligible attendee is notified and has 24 hours to accept it."" (context provided in this run) | The first offer is covered; the flow after expiration or decline is absent. | Partial coverage was reviewed against the execution material."
"CMP082","US19","US19_G05","Available-place offer and next-step process","Operational","C0","CD","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","ABSENT. Neither the provided decisional context nor any reference entry defines the flow after an offer expires or is declined. | Emergent gap. | Equivalent duplicate in the same Run_ID."
"CMP083","US19","US19_G05","Available-place offer and next-step process","Operational","C0","CS","Yes","Yes","Unanswered","Partially answered","Necessary","Persistent","ABSENT. Neither the systemic context nor any reference entry defines what happens to the waitlist entry after an offer expires or is declined. | Emergent gap. | Partial coverage was reviewed against the execution material."
"CMP084","US19","US19_G05","Available-place offer and next-step process","Operational","C0","CT","Yes","Yes","Unanswered","Partially answered","Necessary","Persistent","CTX CS (within CT): ""The Waitlist Service stores the ordered entries and identifies the next eligible attendee."" | Combined with the 24-hour offer rule (CTX CO), the flow up to identifying the next attendee is covered; the automatic notification policy is not stated. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP085","US19","US19_G06","Available-place offer notification channel","Operational","C0","CD","No","Yes","N/A","Unanswered","Necessary","Emergent","Not found in the execution material. | The reference names the responsible component (Notification Service) but not the channel. | Partial coverage was reviewed against the execution material."
"CMP086","US19","US19_G06","Available-place offer notification channel","Operational","C0","CT","No","Yes","N/A","Unanswered","Useful","Emergent","ABSENT. None of the four context blocks specifies the notification channel. | The systemic block names the Notification Service without defining the channel. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP087","US19","US19_G07","Rejoin eligibility after coordinator removal","Operational","C0","CD","No","Yes","N/A","Unanswered","Useful","Emergent","CTX CD: ""Coordinators may remove entries that are duplicates or no longer eligible, with a recorded reason."" (removal covered; re-joining not addressed) | Emergent gap. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP088","US19","US19_G08","Reservation during offer acceptance window","Operational","C0","CL","No","Yes","N/A","Unanswered","Necessary","Emergent","Not found in the execution material. | The question presupposes a ""24-hour"" window that is not part of the lexical context provided in this run; that detail exists only in the operational context (REF US19_CO_03). Possible model inference."
"CMP089","US19","US19_G09","Eligibility recheck timing","Operational","C0","CL","No","Yes","N/A","Unanswered","Necessary","Emergent","ABSENT. No provided material or reference entry defines when eligibility must be rechecked."
"CMP090","US19","US19_G09","Eligibility recheck timing","Operational","C0","CS","No","Yes","N/A","Unanswered","Necessary","Emergent","CTX CS: ""The Training Catalog provides class capacity, registration status, and eligibility rules."" (context provided in this run) | The source of eligibility rules is named; when eligibility must be rechecked is not stated. | Partial coverage was reviewed against the execution material."
"CMP091","US19","US19_G09","Eligibility recheck timing","Operational","C0","CT","No","Yes","N/A","Unanswered","Necessary","Emergent","ABSENT. None of the four context blocks defines when eligibility must be rechecked. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP092","US19","US19_G10","Coordinator removal record fields","Operational","C0","CL","No","Yes","N/A","Unanswered","Useful","Emergent","Not found in the execution material. | The question presupposes that ""the reason"" is recorded — a detail from the decisional context not provided in this run. Possible model inference. The reference covers the reason only; additional fields remain unspecified."
"CMP093","US19","US19_G10","Coordinator removal record fields","Operational","C0","CO","No","Yes","N/A","Unanswered","Useful","Emergent","Not found in the execution material. | The reference covers the recorded reason; the full set of required fields remains unspecified. | Related reference answer exists but was not provided in this execution condition: US19_CD_03: ""Coordinators may remove entries that are duplicates or no longer eligible, with a recorded reason."" (reference sheet; not provided under CO)"
"CMP094","US19","US19_G10","Coordinator removal record fields","Operational","C0","CT","No","Yes","N/A","Partially answered","Useful","Emergent","CTX CD (within CT): ""Coordinators may remove entries that are duplicates or no longer eligible, with a recorded reason."" | The recorded reason is covered; additional required fields are not specified. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP095","US19","US19_G11","Multiple concurrent waitlist participation","Decisional","C0","CO","No","Yes","N/A","Unanswered","Useful","Emergent","Not found in the execution material."
"CMP096","US19","US19_G12","Available-place notification failure behavior","Systemic","C0","CS","No","Yes","N/A","Unanswered","Necessary","Emergent","Not found in the execution material. | Emergent gap. The systemic context names the service without a failure policy. | Partial coverage was reviewed against the execution material."
"CMP097","US22","US22_G01","Minimum profile/history threshold for personalization","Lexical","C0","CL","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | Emergent gap; the reference covers the fallback rule (US22_CO_03), not the threshold. | Partial coverage was reviewed against the execution material."
"CMP098","US22","US22_G01","Minimum profile/history threshold for personalization","Lexical","C0","CO","Yes","Yes","Unanswered","Partially answered","Necessary","Persistent","Users with insufficient history receive non-personalized popular content instead. | The sufficiency concept is used operationally; the exact threshold is not defined. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP099","US22","US22_G01","Minimum profile/history threshold for personalization","Lexical","C0","CD","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | Equivalent duplicate in the same Run_ID."
"CMP100","US22","US22_G01","Minimum profile/history threshold for personalization","Operational","C0","CS","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | Equivalent duplicate in the same Run_ID."
"CMP101","US22","US22_G01","Minimum profile/history threshold for personalization","Lexical","C0","CT","Yes","Yes","Unanswered","Partially answered","Necessary","Persistent","Users with insufficient history receive non-personalized popular content instead. | The sufficiency concept is used; the exact threshold is not defined. | Partial coverage was reviewed against the execution material."
"CMP102","US22","US22_G02","Content eligibility definition","Lexical","C0","CL","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | Partial coverage was reviewed against the execution material."
"CMP103","US22","US22_G02","Content eligibility definition","Lexical","C0","CO","Yes","Yes","Unanswered","Partially answered","Necessary","Persistent","CTX CO: ""The system returns up to ten eligible items that the current user has not already dismissed."" (context provided in this run) | One eligibility criterion (not dismissed) is stated; the remaining criteria are not. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP104","US22","US22_G02","Content eligibility definition","Lexical","C0","CD","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | Equivalent duplicate in the same Run_ID."
"CMP105","US22","US22_G02","Content eligibility definition","Lexical","C0","CS","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | Equivalent duplicate in the same Run_ID. Partial coverage was reviewed against the execution material."
"CMP106","US22","US22_G02","Content eligibility definition","Lexical","C0","CT","Yes","Yes","Unanswered","Partially answered","Necessary","Persistent","CTX CO (within CT): ""The system returns up to ten eligible items that the current user has not already dismissed."" | One criterion (not dismissed) is stated; the additional criteria requested are not. | Partial coverage was reviewed against the execution material."
"CMP107","US22","US22_G03","Similarity ranking conflict/combination rule","Operational","C0","CL","Yes","Yes","Unanswered","Unanswered","Necessary","Unchanged","Not found in the execution material. | Both similarity components are stated; the combination or weighting rule is not."
"CMP108","US22","US22_G03","Similarity ranking conflict/combination rule","Operational","C0","CO","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP109","US22","US22_G03","Similarity ranking conflict/combination rule","Operational","C0","CD","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP110","US22","US22_G03","Similarity ranking conflict/combination rule","Operational","C0","CS","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
"CMP111","US22","US22_G03","Similarity ranking conflict/combination rule","Operational","C0","CT","Yes","No","Unanswered","N/A","N/A","Eliminated","Gap appeared in C0 and did not reappear in the compared condition."
